IBINS#                                  IBADD@IN                                IBWPHR                                  IBZIP6 IBZIP4 IBSTE@ IBCITY               IBADD1                         IBLABL IBPAYID IBCNTC                    IBDEL@ IBDTSTS                 IBMSID       IBDTMSID                IBDTMT                  IBTMNT                  IBUSER     IBDTES                  IBTESE                  IBUSRC     IBZPGM     INNAMB
--------------------------------------- --------------------------------------- --------------------------------------- ------ ------ ------ -------------------- ------------------------------ ------ ------- ------------------------- ------ ----------------------- ------------ ----------------------- ----------------------- ----------------------- ---------- ----------------------- ----------------------- ---------- ---------- ------------------------------
0                                       0                                       0                                       13057         NY     East Syracuse        281 Sanders Creek Parkway      N      06126                                    1940-01-01 00:00:00.000              1940-01-01 00:00:00.000 2020-07-05 00:00:00.000 1900-01-01 00:00:00.000 JOBADMIN   1940-01-01 00:00:00.000 1900-01-01 00:00:00.000            ADRMASTRG                                
1                                       277                                     4331504                                 13116         NY     Minoa                P.O. BOX 96                    N      06126                                    1999-01-29 00:00:00.000              1999-01-29 00:00:00.000 2006-12-19 00:00:00.000 1900-01-01 11:34:51.000 BECKSCH    1999-01-29 00:00:00.000 1900-01-01 00:00:00.000 THDIANE    ADRMASTRG  INACTIVE A.S.O. HEALTH PLANS  
3                                       279                                     8004281291                              25332         WV     Charleston           PO Box 3262                    N      87815                                    1999-01-29 00:00:00.000              1999-01-29 00:00:00.000 2009-08-04 00:00:00.000 1900-01-01 19:21:11.000 CC_JWAHDEN 1999-01-29 00:00:00.000 1900-01-01 00:00:00.000 THDIANE    ADRMASTRG  ACORDIA NATIONAL              
3                                       78937                                   8003211855                              25339         WV     Charleston           PO Box 11522                   N      87815                                    1940-01-01 00:00:00.000              1940-01-01 00:00:00.000 2009-08-04 00:00:00.000 1900-01-01 19:21:37.000 CC_JWAHDEN 1999-06-22 00:00:00.000 1900-01-01 09:13:43.000 KATMRET    ADRMASTRG  ACORDIA NATIONAL              
3                                       245931                                  8006248605                              25332         WV     Charleston           PO Box 3262                    N      87815                                    1940-01-01 00:00:00.000              1940-01-01 00:00:00.000 2009-08-04 00:00:00.000 1900-01-01 19:21:17.000 CC_JWAHDEN 2002-09-06 00:00:00.000 1900-01-01 10:01:17.000 CHRILOR    ADRMASTRG  ACORDIA NATIONAL              
3                                       468239                                  8003853939                              25332         WV     Charleston           PO Box 3262                    N      87815                                    1940-01-01 00:00:00.000              1940-01-01 00:00:00.000 2009-08-04 00:00:00.000 1900-01-01 19:21:23.000 CC_JWAHDEN 2005-10-14 00:00:00.000 1900-01-01 11:44:58.000 BAHBATT    ADRMASTRG  ACORDIA NATIONAL              
6                                       282                                     8772386200                              06115         CT     Hartford             PO Box 150409                  N      60054                                    1999-01-29 00:00:00.000              1999-01-29 00:00:00.000 2010-09-17 00:00:00.000 1900-01-01 12:18:14.000 RBOOKMAN   1999-01-29 00:00:00.000 1900-01-01 00:00:00.000 THDIANE    INSADR     AETNA US HEALTHCARE           
6                                       342                                     8002350123                              58502         ND     Bismarck             PO Box 1858                    N      60054                                    1940-01-01 00:00:00.000              1940-01-01 00:00:00.000 2009-08-04 00:00:00.000 1900-01-01 10:40:33.000 CC_JWAHDEN 1999-03-16 00:00:00.000 1900-01-01 14:20:59.000 MICHELLES  ADRMASTRG  AETNA US HEALTHCARE           
6                                       597                                     8772773368                              49501         MI     Grand Rapids         PO Box 120                     N      60054                                    1999-01-29 00:00:00.000              1999-01-29 00:00:00.000 2009-08-04 00:00:00.000 1900-01-01 12:10:44.000 CC_JWAHDEN 1999-01-29 00:00:00.000 1900-01-01 00:00:00.000 THDIANE    ADRMASTRG  AETNA US HEALTHCARE           
6                                       603                                     8006434301                              01876         MA     Tewksbury            PO Box 1211                    N      60054                                    1999-01-29 00:00:00.000              1999-01-29 00:00:00.000 2009-08-04 00:00:00.000 1900-01-01 12:09:56.000 CC_JWAHDEN 1999-01-29 00:00:00.000 1900-01-01 00:00:00.000 THDIANE    ADRMASTRG  AETNA US HEALTHCARE           
